2022-07-20 15:00:02.658  INFO 13780 --- [main] com.kk.SpringBootDemo11LogApplication    : Starting SpringBootDemo11LogApplication using Java 1.8.0_202 on LAPTOP-BB21GNP4 with PID 13780 (E:\2022年\学习\计算机学习\Java\SpringBoot2Study\SpringBoot_demo11_Log\target\classes started by Lucky in E:\2022年\学习\计算机学习\Java\SpringBoot2Study)
2022-07-20 15:00:02.660 DEBUG 13780 --- [main] com.kk.SpringBootDemo11LogApplication    : Running with Spring Boot v2.7.1, Spring v5.3.21
2022-07-20 15:00:02.661  INFO 13780 --- [main] com.kk.SpringBootDemo11LogApplication    : No active profile set, falling back to 1 default profile: "default"
2022-07-20 15:00:02.663 DEBUG 13780 --- [main] o.s.boot.SpringApplication               : Loading source class com.kk.SpringBootDemo11LogApplication
2022-07-20 15:00:02.673 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(1)-192.168.56.1: accepted socket from [192.168.56.1:55332]
2022-07-20 15:00:02.675 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(1)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:02.680 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "[Ljava.rmi.server.ObjID;", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:02.682 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "java.rmi.server.ObjID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:02.683 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "java.rmi.server.UID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:02.684 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "java.rmi.dgc.Lease", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:02.685 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "java.rmi.dgc.VMID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:02.686 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "[B", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:02.689 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(1)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:02.699 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(1)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:02.699 DEBUG 13780 --- [RMI TCP Connection(1)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(1)-192.168.56.1: name = "[Ljava.rmi.server.ObjID;", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
