2022-07-20 15:00:04.904 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: accepted socket from [192.168.56.1:55336]
2022-07-20 15:00:04.906 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:04.907 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:04.907 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "[Ljava.rmi.server.ObjID;", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:04.907 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.server.ObjID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:04.907 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.server.UID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:04.908 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.dgc.Lease", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:04.908 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.dgc.VMID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:04.908 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "[B", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@27ddd392
2022-07-20 15:00:04.908 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 55330) op = 84
2022-07-20 15:00:04.909 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:04.909 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 55330) op = 80
2022-07-20 15:00:04.909 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "javax.management.ObjectName", codebase = ""
2022-07-20 15:00:04.909 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.MarshalledObject", codebase = ""
2022-07-20 15:00:04.910 DEBUG 13780 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "[B", codebase = ""
