2022-07-27 12:42:39.665 DEBUG 14808 --- [RMI TCP Connection(2)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(2)-192.168.56.1: name = "java.rmi.MarshalledObject", codebase = ""
2022-07-27 12:42:39.666 DEBUG 14808 --- [RMI TCP Connection(2)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(2)-192.168.56.1: name = "[B", codebase = ""
2022-07-27 12:42:39.666 DEBUG 14808 --- [RMI TCP Connection(2)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(2)-192.168.56.1: name = "[Ljava.lang.String;", codebase = ""
2022-07-27 12:42:39.666 DEBUG 14808 --- [RMI TCP Connection(2)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(2)-192.168.56.1: name = "[Ljava.lang.String;", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.669 DEBUG 14808 --- [RMI TCP Connection(2)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(2)-192.168.56.1: (port 51038) op = 80
2022-07-27 12:42:39.952 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: accepted socket from [192.168.56.1:51045]
2022-07-27 12:42:39.952 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 80
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 80
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "[Ljava.rmi.server.ObjID;", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.server.ObjID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.server.UID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.dgc.Lease", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.dgc.VMID", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "[B", codebase = "", defaultLoader = sun.misc.Launcher$ExtClassLoader@64b8f8f4
2022-07-27 12:42:39.953 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 84
2022-07-27 12:42:39.954 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 80
2022-07-27 12:42:39.954 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 80
2022-07-27 12:42:39.954 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "javax.management.ObjectName", codebase = ""
2022-07-27 12:42:39.954 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "java.rmi.MarshalledObject", codebase = ""
2022-07-27 12:42:39.956 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 80
2022-07-27 12:42:39.956 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.loader                           : RMI TCP Connection(3)-192.168.56.1: name = "javax.management.ObjectName", codebase = ""
2022-07-27 12:42:39.961 DEBUG 14808 --- [RMI TCP Connection(3)-192.168.56.1] sun.rmi.transport.tcp                    : RMI TCP Connection(3)-192.168.56.1: (port 51038) op = 80
